dimension,icn2_pillar,indicator,definition,unit,frequency,data_source,data_source_url,countries_with_data,availability,notes
Governance,Pillar 6: Governance and accountability,National nutrition policy or plan (Yes/No),"Existence of a current national nutrition policy, strategy, or multi-sectoral action plan with defined targets and budget.",Binary (Yes/No),Annual,WHO GINA (Global database on Implementation of Nutrition Action),https://extranet.who.int/nutrition/gina/,~150,Available,SUN Movement annual reporting also tracks this for 60+ member countries.
Governance,Pillar 6: Governance and accountability,Functional multisectoral nutrition coordination mechanism (Yes/No),"Existence of a government-led, multisectoral body with mandate, membership, and meeting schedule for nutrition coordination.",Binary (Yes/No),Annual,SUN Movement annual reporting; WHO GINA,https://scalingupnutrition.org/progress-impact/monitoring-evaluation-accountability-and-learning/,~65 (SUN); ~120 (GINA),Available,SUN uses structured assessment; GINA uses self-reported data.
Governance,Pillar 6: Governance and accountability,Dedicated government budget line for nutrition (Yes/No + % GDP),Whether a government has a discrete budget line for nutrition programmes (not embedded in health or agriculture sector). Optional: nutrition expenditure as % of GDP.,Binary + % GDP (optional),Annual,SUN Movement; OECD CRS aid data; national budget documents,https://scalingupnutrition.org/,~50 (SUN reporting),Partial — limited to SUN member countries,Significant data gap. Nutrition financing tracking is a recognized gap in the GNMF. New guide should flag this as a recommended tracker.
Governance,Pillar 2: Health systems nutrition actions,WHO Code compliance (BFMS marketing restrictions),"Whether national legislation substantially complies with the International Code of Marketing of Breast-milk Substitutes (1981), as assessed by WHO/UNICEF.",Score: No measures / Some measures / Substantial measures / Full Code in law,Every 2-3 years (WHO assessment cycle),WHO Breastfeeding Scorecard; WHO GINA,https://www.who.int/publications/i/item/9789240018389,~150,Available,WHO Global BF Scorecard (2023 edition) is the most recent assessment. Scores on 1-10 scale; above 8 considered substantial compliance.
Governance,Pillar 1: Food systems for healthy diets,Mandatory food fortification legislation (Yes/No by nutrient),"Whether national legislation mandates fortification of staple foods (wheat flour, maize flour, rice, edible oil, salt) with specific micronutrients (iron, folic acid, vitamin A, iodine, zinc).",Binary per food vehicle and nutrient,Annual update,Food Fortification Initiative (FFI) country tracker; WHO GINA,https://www.ffinetwork.org/country-profiles,~160,Available,FFI maintains the most comprehensive and up-to-date database. WHO GINA also tracks this but updates are slower.
Resources,Pillar 2: Health systems nutrition actions,Maternity leave duration (weeks) meeting WHO/ILO standard,Statutory paid maternity leave duration in weeks. ILO Maternity Protection Convention C183 (2000) recommends minimum 14 weeks. WHO recommends minimum 18 weeks to support EBF.,Weeks (statutory),Annual,ILO Working Conditions Laws Database; WHO BF Scorecard,https://www.ilo.org/ilolex/english/newcountryframeE.htm,~170,Available,ILO WCLD provides statutory duration; enforcement/coverage varies. WHO Scorecard uses 18-week threshold for scoring.
Resources,Pillar 3: Social protection,Social protection coverage — maternity benefit (% of women),Percentage of women giving birth who receive a maternity cash benefit from social insurance or social assistance systems.,Percentage (%),Every 2-3 years,ILO World Social Protection Report; ILO ILOSTAT,https://ilostat.ilo.org/topics/social-protection/,~150,Available,ILO 2024 World Social Protection Report provides most recent estimates. SDG indicator 1.3.1 measures social protection coverage broadly.
Resources,Pillar 3: Social protection,Coverage of social protection cash transfers (% population),"Percentage of population in the lowest income quintile covered by at least one social protection programme (cash transfer, in-kind transfer, or public works).",Percentage (%) — poorest quintile,Annual (ILO/World Bank),World Bank ASPIRE database; ILO ILOSTAT,https://www.worldbank.org/en/data/datatopics/aspire,~120,Available,ASPIRE is the most comprehensive social protection coverage database. Nutrition-sensitive social protection linkage is an emerging indicator area.
Resources,Pillar 2: Health systems nutrition actions,"Health worker density (per 10,000 population)","Density of doctors, nurses, and midwives per 10,000 population. WHO minimum threshold: 44.5 per 10,000 for basic service coverage. Proxy for health system capacity to deliver nutrition services.","Per 10,000 population",Annual,WHO Global Health Workforce Statistics; NHWA portal,https://www.who.int/data/gho/data/themes/topics/health-workforce,~190,Available,Available through WHO GHO API. Widely used as health system capacity proxy.
Norms,Pillar 5: Safe and supportive environments,Women's empowerment index (WEAI or similar),"Composite measure of women's empowerment in agriculture and household decision-making, including control over food production and dietary decisions. WEAI is validated for use in LMIC contexts.",Index (0-1),Every 5 years (DHS cycle),IFPRI WEAI; DHS women empowerment modules,https://www.ifpri.org/project/weai,~60 (WEAI); broader through DHS proxy indicators,Partial — not globally standardized,Known data gap in the GNMF. DHS collects proxy indicators on household decision-making but not a composite index. Recommended for inclusion in new guide as an emerging indicator.
Norms,Pillar 5: Safe and supportive environments,Breastfeeding support in the workplace (Yes/No),Existence of legal provisions requiring employers to provide breastfeeding breaks and facilities for nursing mothers. WHO BF Scorecard assesses this as part of the breastfeeding enabling environment score.,Binary (Yes/No),Every 2-3 years (WHO BF Scorecard cycle),WHO Global Breastfeeding Scorecard; ILO WCLD,https://www.who.int/publications/i/item/9789240018389,~150,Available,WHO Scorecard 2023 edition. ILO WCLD confirms legislative basis.
Norms,Pillar 1: Food systems for healthy diets,"Availability of nutritious foods (Cost of Healthy Diet, $/day)",Cost of a least-cost diet that meets nutrient requirements for one adult for one day (FAO/WFP/IFPRI cost of a healthy diet metric). Proxy for whether healthy foods are economically accessible in a given country.,USD per day per person (PPP-adjusted),Annual,FAO/WFP/IFPRI Cost of a Healthy Diet (CAHD) indicator; SOFI Annex,https://www.fao.org/publications/fao-flagship-publications/the-state-of-food-security-and-nutrition-in-the-world/en,~170,Available (SOFI 2025 annex),Included in SOFI 2025 data annex. Directly featured in SOFI 2026 as focus indicator on food system affordability.
